29.06.2026 01:47:18 | Fire=1 | Smoke=2
29.06.2026 01:47:18 | Fire=1 | Smoke=2
29.06.2026 01:47:18 | Fire=1 | Smoke=1
29.06.2026 01:47:18 | Fire=1 | Smoke=1
29.06.2026 01:47:18 | Fire=2 | Smoke=1
29.06.2026 01:47:19 | Fire=1 | Smoke=0
29.06.2026 01:47:19 | Fire=1 | Smoke=2
29.06.2026 01:47:19 | Fire=1 | Smoke=1
29.06.2026 01:47:19 | Fire=1 | Smoke=1
29.06.2026 01:47:20 | Fire=1 | Smoke=2
29.06.2026 01:47:20 | Fire=0 | Smoke=1
29.06.2026 01:47:20 | Fire=1 | Smoke=1
29.06.2026 01:47:20 | Fire=1 | Smoke=2
29.06.2026 01:47:20 | Fire=1 | Smoke=2
29.06.2026 01:47:20 | Fire=1 | Smoke=1
29.06.2026 01:47:20 | Fire=1 | Smoke=1
29.06.2026 01:47:20 | Fire=0 | Smoke=1
29.06.2026 01:47:20 | Fire=0 | Smoke=1
29.06.2026 01:47:20 | Fire=0 | Smoke=2
29.06.2026 01:47:20 | Fire=1 | Smoke=2
29.06.2026 01:47:20 | Fire=1 | Smoke=2
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=0 | Smoke=2
29.06.2026 01:47:21 | Fire=0 | Smoke=2
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=0 | Smoke=1
29.06.2026 01:47:21 | Fire=0 | Smoke=1
29.06.2026 01:47:21 | Fire=1 | Smoke=1
29.06.2026 01:47:21 | Fire=0 | Smoke=1
29.06.2026 01:47:21 | Fire=0 | Smoke=2
29.06.2026 01:47:22 | Fire=0 | Smoke=1
29.06.2026 01:47:22 | Fire=0 | Smoke=1
29.06.2026 01:47:22 | Fire=0 | Smoke=1
29.06.2026 01:47:22 | Fire=0 | Smoke=1
29.06.2026 01:47:22 | Fire=0 | Smoke=3
29.06.2026 01:47:22 | Fire=0 | Smoke=2
29.06.2026 01:47:22 | Fire=0 | Smoke=1
29.06.2026 01:47:22 | Fire=1 | Smoke=2
29.06.2026 01:47:22 | Fire=1 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:23 | Fire=1 | Smoke=1
29.06.2026 01:47:23 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=1 | Smoke=0
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=1 | Smoke=2
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=1 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=0 | Smoke=1
29.06.2026 01:47:24 | Fire=1 | Smoke=1
